Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / Condition,Google Shopping / Custom Product,Box inclusion (product.metafields.custom.box_inclusion),FAQs (product.metafields.custom.faqs),Multicolumns (product.metafields.custom.multicolumn),Product banner (product.metafields.custom.product_banner),Product_banner1 (product.metafields.custom.product_banner1),Product_banner2 (product.metafields.custom.product_banner2),Product_banner3 (product.metafields.custom.product_banner3),Product  FAQ (product.metafields.custom.product_faq),Product Features - Table (product.metafields.custom.product_features_table),Product PDF URL (product.metafields.custom.product_pdf),Product Title (product.metafields.custom.product_title),Short Description (product.metafields.custom.short_description),YouTube Video URL (product.metafields.custom.youtube_video_url),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Power source (product.metafields.shopify.power-source),Razor head design (product.metafields.shopify.razor-head-design),Suitable for skin type (product.metafields.shopify.suitable-for-skin-type),Usage conditions (product.metafields.shopify.usage-conditions),Variant Image,Variant Weight Unit,Status
callus-remover-skin-lifting,Callus Remover & Skin Lifting Device Combo,"Engineered to effortlessly smooth out fine lines and wrinkles, Winston skin lift device helps firm the skin. On the other hand, Callus Remover is a cutting-edge device that combines precision engineering with unparalleled comfort and effortlessly eliminates dry, rough, and calloused skin.",Winston Electronics,Uncategorized,,,True,Title,Default Title,,WCRSLD-101,0.0,shopify,221.0,deny,manual,3181.0,5580.0,True,True,,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/CallusSkinlift.png?v=1743056332', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/01_Callus_Remover.png?v=1764145962', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/SkinliftDevice.png?v=1743055048']","[1, 2, 3]","[nan, 'Callus Remover', 'Skin Lift Device']",False,,,,,,,,skin-lift-device; callus-remover,,travel-friendly-1; easy-to-use-2; sturdy-built-1; premium-quality-1,,,,,warranty,,,,"Engineered to effortlessly smooth out fine lines, wrinkles and eleminates feet's dead skin and callus. ",,,'1,,,,,,,g,active
led-comb-skin-lifting,LED Comb & Skin Lifting Device Combo,"Take advance care of your skin and hair with this combo. Engineered to effortlessly smooth out fine lines and wrinkles, skin lift device helps firm the skin. On the other hand, LED Comb brings multiple advantages with red, blue light, and 3 massage modes.",Winston Electronics,Uncategorized,,,True,Color,"['White', 'Grey']",,"['WLCSLD-101', 'WLCSLD-102']",0.0,shopify,"[213.0, 223.0]",deny,manual,4273.0,5980.0,True,True,,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Callus_Skin_lift_2.jpg?v=1743159530', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Led_Comb_white_Skin_lift_2.png?v=1743159530', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/LED_Light_Hair_Therapy_Comb_-_White.jpg?v=1764257078', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/SkinliftDevice.png?v=1743055048']","[1, 2, 3, 4]","['LED Comb & Skin Lifting Device Combo', 'Grey LED Comb & Skin Lifting Device Combo', 'LED Light Hair Therapy Comb - White', 'Skin Lift Device']",False,,,,,,,,skin-lift-device; led-hair-growth-comb,,premium-quality-1; easy-to-use-2; sturdy-built-1; travel-friendly-1,,,,,warranty,,,,"Take advance care of your skin and hair with  ultra violet, thermal vibration and led light therapy.",,,,,,,,,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Callus_Skin_lift_2.jpg?v=1743159530', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Led_Comb_white_Skin_lift_2.png?v=1743159530']",g,active
2-in-1-face-trimmer-skin-lifting,2 in 1 Face Trimmer & Skin Lift Device Combo,"Say goodbye to your skin sagging and facial hair with ease. Engineered to effortlessly smooth out fine lines and wrinkles, Winston skin lift device helps firm the skin. While 2 in 1 face & eyebrow trimmer is designed for painless and precise touch-ups.",Winston Electronics,Uncategorized,,,True,Title,Default Title,,WFETSLD-101,0.0,shopify,440.0,deny,manual,3703.0,6480.0,True,True,,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/2in1FaceTrimmer_SkinLiftDeviceCombo.jpg?v=1743053364', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/SkinliftDevice.png?v=1743055048', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/2_in_1_Face_and_Eyebrow_Trimmer.jpg?v=1764146043']","[1, 2, 3]","[nan, 'Skin Lift Device', '2 in 1 Face and Eyebrow Trimmer']",False,,,,,,,,skin-lift-device; 2-in-1-face-eyebrow-trimmer,,easy-to-use-2; travel-friendly-1; premium-quality-1; sturdy-built-1,,,,,warranty,,,,"Say goodbye to sagging skin & facial hair with smooth, painless care.",,,,,,,,,,g,active
body-lotion,Body Lotion,"Nourish and hydrate your skin daily with Winston Body Lotion. Enriched with Almond Oil, Shea Butter & Aloe Vera, it absorbs quickly, soothes dry spots, and leaves skin soft, smooth, and non-greasy. Suitable for all skin types.",Winston,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,,,True,Title,Default Title,,WBL-101,0.0,shopify,745.0,deny,manual,99.0,590.0,True,True,,https://cdn.shopify.com/s/files/1/0615/3355/2855/files/BodyLotion.png?v=1740719559,1,Body Lotion,False,"Body Lotion | Deep Hydration for Soft, Smooth Skin",Wrap your skin in smoothness with body lotion deeply hydrating & nourishing formula for lasting softness.,2844,,,,,,how-is-winston-body-lotion-effective; can-this-body-lotion-be-used-daily; what-are-the-ingredients-of-winston-body-lotion; what-are-the-benefits-of-winston-body-lotion; additional-information,cruelty-free; alcohol-free; natural; vegan,,,,,,,,,Wrap your skin in smoothness with this deeply hydrating & nourishing formula for lasting softness.,,,'1,,,,,,,kg,active
hair-growth-oil,Hair Growth Oil,"Revitalize your roots for stronger, healthier hair. Infused with natural botanicals, our hair growth oil works to deeply nourish and strengthen your hair from the roots, encouraging growth and giving you healthier, more voluminous strands.",Winston,Health & Beauty > Personal Care > Cosmetics > Skin Care > Sunscreen,,,True,Title,Default Title,,WHO-101,0.0,shopify,946.0,deny,manual,99.0,590.0,True,True,,https://cdn.shopify.com/s/files/1/0615/3355/2855/files/HairGrowthOil.png?v=1740721248,1,Hair Growth Oil,False,Hair Growth Oil | Boost Hair Growth & Reduce Hair Fall Naturally,"Boost hair growth and reduce hair fall with Winston Hair Growth Oil. Powered by Onion, Argan & Neem Oils to nourish roots and strengthen hair naturally.",2844,,,,,,how-is-winston-hair-growth-oil-effective; can-this-glow-oil-be-used-daily-1; what-are-the-ingredients-of-winston-hair-growth-oil; what-are-the-benefits-of-winston-hair-growth-oil; additional-information-1,paraben-free; alcohol-free; glycol-free; colorants-free,,,,,,,,Hair Growth Oil,Let your hair thrive with this nourishing oil that stimulates growth and restores vitality.,,,,,,,,,,kg,active
airizona,Airizona | High Speed BLDC Hair Dryer,"Winston Art Airizona, India's first hair dryer with BLDC high speed motor cares for all - you, your little ones and even your furry friends.    Smart, Future-forward Functional Modes: Airizona isn't just another hair dryer, it's a whole bundle of drying experience. With 6 intelligent functional modes including long hair mode, short hair mode, isothermal mode, alternating warm and cold mode, baby mode, and pet mode, you can switch to your drying needs effortlessly.    3 Styling Attachments: Made to deliver much more than hair drying, the Airizona comes with a hair diffuser, concentrator, and fly away tamer. So handle your curls well and get the best detailed styling while taming all your flyaways.    No Heat Damage Plasma Ion Tech: Designed for all hair types, Airizona's balanced positive and negative ion technology reduces frizz up to 40% and boosts shine by 50%.   Ultra-fast Drying with BLDC Motor: Featured with 110000RPM Brushless Motor, Airizona delivers 3 minutes quick drying.    For All Hair Types: Comes with 3 temperature modes and 2 speed modes, the Airizona ensures smoother results for all hair types.    Grip Sensor Technology: Equipped with an intelligent chip and precise grip sensing, Airizona pauses when you put it down and resumes exactly where you left off, making styling smarter and more intuitive.   Order within 6 hours & get flat ₹1,000* off on prepaid orders.",Winston,Home & Garden > Household Supplies > Storage & Organization > Household Storage Containers,Hair Dryer,"all, winston, Winston Art",True,Title,Default Title,,WARHD-101,0.0,shopify,170.0,deny,manual,10999.0,19999.0,True,True,,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/01AirizonaWithMultipleAttachments.png?v=1752495575', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/02AirizonaWithAttachments_3D.png?v=1752560065', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/03TheAirizonaWithAirCollectingConcentrator.png?v=1752560651', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/04UsageofAirizonaAfterBefore.png?v=1752560580', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/05Airizona-TheHairDiffuser.png?v=1752560548', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/06Airizona-TheFlyawayTamer.png?v=1752560521', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/07Airizona-TheHairDryer.png?v=1752560496', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/08AirizonaWIthBLDCHighSpeedMotor.png?v=1752560371', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/09Airizona-TheGripSensor.png?v=1752560357', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/10AirizonaWith1YearWarranty.png?v=1752560324']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['Airizona With High Speed BLDC Hair Dryer', 'Airizona High Speed BLDC Hair Dryer', 'Airizona With Air Collecting Concentrator', 'After Using the Airizona Hair Dryer', 'Airizona With Hair Diffuser', 'Airizona With Flyaway Tamer', 'The Ultimate Hair Dryer For Ultra Hot Results', 'BLDC High Speed Motor With 110000 RPM', 'The Airizona Grip Sensor', 'Airizona With 1 Year Warranty']",False,Airizona | High Speed BLDC Hair Dryer,"Much more than a hair dryer, Airizona has 6 intelligent modes, BLDC high speed motor for quick drying, and Plasma Ions technology for no heat damage.",Health & Beauty > Personal Care > Shaving & Grooming > Hair Clippers & Trimmers,unisex,adult,new,True,airizona; hair-diffuser; air-collecting-concentrator; flyaway-tamer; user-manual-29,how-is-winston-art-airizona-effective-1; what-is-the-role-of-bldc-high-speed-motor-1; can-winston-art-airizona-be-used-on-all-hair-types; does-witnsotn-art-airizona-damage-hair-from-heat; is-the-winston-art-airizona-safe-for-daily-use; how-do-i-maintain-and-clean-winston-art-airizona; does-winston-airizona-come-with-a-warranty; additional-information-2,bldc-high-speed-motor; smart-grip-sensor-technology; plasma-ions-technology; 3-styling-attachments,products-banner-qwur5agl,products-banner-6n3lhdpk,product-banner-2-3pqf2woy,product-banner-3-gsnra4om,product-faq-tmjmpohs; product-faq-fln53dml; warranty,,https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Airizona_-_Product_Manual.pdf,Airizona,"Not just a dryer! It's a styler that cares for all - you, your little ones and your pets.",,True,'19,,,,,,,g,active
flexy-multi-hair-styler,Flexy | 8-in-1 Multi Hair Styler and Dryer,"Winston Art Flexy, India's first no heat damage multi-styler with plasma ion tech gives you more ways to flex, style, and slay.    Flexibility At Its Peak: Transform your dryer into a multi-styler with just one twist. Push the rotate button, twist and turn the upper half and switch to your desired styling mode.   The 8 Styling Attachments: Dry, straight, curl automatically, volumize, smoothen, and tame flyaway easily with just one tool.   No Heat Damage Plasma Ion Tech: Designed for all hair types, Flexy's balanced positive and negative ion technology reduces frizz up to 40% and boosts shine by 50%.  Ultra-fast Drying with BLDC Motor: Featured with 110000RPM Brushless Motor, Flexy delivers 2 minutes quick drying.   For All Hair Types: Comes with 4 temperature modes, 3 speed modes, and 1 click cold air, the flexy ensures smoother styling for all hair types.   The Premium Storage Case: Carry your Flexy in style! The luxury case keeps your styler and attachments safe and organized.   Order within 6 hours & get flat ₹1,000* off on prepaid orders.",Winston,Home & Garden > Household Supplies > Storage & Organization > Household Storage Containers,Multi Hair Styler,"all, Winston Art",True,Title,Default Title,,WARHS-101,0.0,shopify,128.0,deny,manual,15999.0,24999.0,True,True,,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/01FlexyWithMulti_Hair_Styler_and_Dryer.png?v=1752560717', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/02FlexyTheMultiHair_Styler.png?v=1752560751', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/final_flexy_1_1_image.png?v=1752495456', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/3_AirizonaWithLeftRightAirMagicWands.png?v=1752560892', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/4_FlexyWithCurlEnhancer.png?v=1752560918', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/5_FlexyWithFlyawayTamer.png?v=1752560943', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/6_FlexyWithAirCollectingConcentrator.png?v=1752560969', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/7_UsageImageofFlexy.png?v=1752561050', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/8_FlexyWithQuickDryStyler.png?v=1752561109', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Root_volumizer_flexy.png?v=1753949071', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/9_FlexyWithVolumeBooster.png?v=1753949071', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/11_FlexyWithQuickDrying.png?v=1753949071', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/12_FlexyWithPlasmaionTechnology.png?v=1753949071', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/13_FlexyWith1YearWarranty.png?v=1753949071']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","['Flexy With Multi Hair Styler and Dryer', 'Flexy The Multi Hair Styler', 'Flexy Multi Hair Styler and Dryer', 'Airizona With Left Right Air Magic Wands', 'Flexy With Curl Enhancer', 'Flexy With Flyaway Tamer', 'Flexy With Air Collecting Concentrator', 'Usage Image - After Before Using Flexy', 'Flexy With Quick Dry Styler', 'Root Volumiser - Flexy', 'Flexy With Volume Booster', 'Flexy With Quick Drying', 'Flexy With Plasma ION Technology', 'Flexy With 1 Year Warranty']",False,,"The Flexy Multi Hair Styler meets all your styling needs without heat damage, with Plasma Ions Technology and a BLDC high-speed motor for smooth, fast, and effortless styling.",5631,,,,,flexy; flyaway-tamer-1; left-air-magic-wand; right-air-magic-wand; curl-enhancer; air-collecting-concentrator-1; quickdry-styler; root-volumiser; volume-booster; user-manual-29,how-is-winston-art-flexy-effective-1; what-is-the-role-of-bldc-high-speed-motor; can-winston-art-flexy-be-used-on-all-hair-types; does-witnsotn-art-flexy-damage-hair-from-heat; is-the-winston-art-flexy-safe-for-daily-use; what-is-coanda-technology-does-flexy-has-coanda-technology; what-is-the-use-of-the-cool-shot-button-in-flexy; how-do-i-maintain-and-clean-winston-art-flexy; does-winston-flexy-come-with-a-warranty; additional-information-3,bldc-high-speed-motor-1; plasma-ions-technology-1; 8-styling-attachments; multiple-temperature-speed-modes,products-banner-g42oxwfq,products-banner-sswvzsyy,product-banner-2-djlkolxx,product-banner-3-hmjsjnk6,product-faq-mejmtsfc; product-faq-vxvoekrg; warranty,,https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Flexy_-_Product_Manual.pdf,Flexy,"The Multi-styler! Dry, curl, smoothen, volumize, hide flyaway and style with no heat damage.",,,'39,,,,,,,kg,active
split-end-trimmer,"Split End Trimmer | Rechargeable, Two-Way Motor to Trim Damaged Hair","Winston split end trimmer aka India's first digital split end trimmer is your go-to for saving time, energy, and money on salon visits.  Trimming mechanism to snip split-ends, fly-away, and damaged ends   Enclosed cutting mechanism trims only when trimming arms are enclosed   Two-way motor to trim for ease of use with left and right hand  Secure lock mechanism for safer storage  Digital display for better control   Rechargeable design supported by type-c",Winston Electronics,Health & Beauty > Personal Care > Hair Care,Split End Trimmer,Winston Hair,True,Title,Default Title,,WSET-101,0.0,shopify,1843.0,deny,manual,3799.0,5990.0,True,True,,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/SplitEndTrimmer-TrimDamagedHair.jpg?v=1744434856', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/01SplitEndTrimmer.png?v=1744434856', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/02SplitEndTrimmer.png?v=1744434856', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/03SplitEndsEffortlessly.png?v=1744434856', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/04SplitEndTrimmer-120MinUsagePerCharge.png?v=1744434856', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/05SplitEndTrier-1YearWarranty.png?v=1744434856']","[1, 2, 3, 4, 5, 6]","[nan, 'Split End Trimmer - Winston Hair', 'Snips Split-Ends Not Length - Split End Trimmer', 'Bid Farewell To Split Ends Effortlessly - Split End Trimmer', 'Split End Trimmer - 120 Min Usage Per Charge', 'Split End Trimmer - 1 Year Warranty']",False,"Split End Trimmer | Rechargeable, Two-Way Motor to Trim Damaged Hair","Say goodbye to damaged hair with the winston split end trimmer, the perfect split end hair trimmer for smooth, healthy hair. Trim damaged hair with split end hair removal tool.",486,unisex,adult,new,True,split-end-trimmer; charging-cable-17; user-manual-30,what-does-split-end-trimmer-do; will-the-split-end-trimmer-cut-my-hair-short; can-i-use-a-winston-split-end-trimmer-for-all-hair-types; how-to-clean-and-maintain-the-split-end-trimmer; what-does-the-digital-display-in-winston-hair-split-end-trimmer; additional-information-4,enclosed-linear-trimming-mechanism; split-ends-collection-chamber; digital-display-6; secure-lock-mechanism,products-banner-labdjedj,products-banner-2ljqa1hi,product-banner-2-irjewgjl,product-banner-3-skg0ebt0,product-faq-ufmv9kpo; product-faq-iioxvusy; warranty,,https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Split_End_Trimmer_Manual.pdf,Split End Trimmer,Not only snip the split ends but also the damaged ends which can potentially turn into split ends.,,True,'23,,,,,,,g,active
turbo-x-1600-watt-hair-dryer,Turbo X 1600 Watt | Ambient Mode Hair Dryer,"With the Winston Turbo X 1600W Hair Dryer, it's time to be steady and stylish.   1600 Watt powerful performance  2 heat/speed modes and 1 ambient mode  1 concentrator attachment  Ergonomic grip  Overheat protection",Winston,Health & Beauty > Personal Care > Hair Care > Hair Styling Tools > Hair Dryers,Hair Dryer,Winston Hair,True,Title,Default Title,,WHD-105,415.0,shopify,411.0,deny,manual,1249.0,2490.0,True,True,'8906181980471,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/TurboX1600WattAmbientModeHairDryer.png?v=1746685351', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/1.WinstonHair-Dryer1600W.png?v=1746685351', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/2.HairDryer1600W-GentleDrying.png?v=1746685351', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/3.HairDryerForMultipleTemperatureModes.png?v=1746685351', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/5.HairDryerWith1YearWarranty.png?v=1746685351']","[1, 2, 3, 4, 5]","[nan, 'Winston Hair - The Turbo X', 'Hair Dryer 1600 W - Gentle Drying', 'Hair Dryer With Multiple Temperature Modes', 'Hair Dryer With 1 Year Warranty']",False,,Experience the Winston Turbo X 1600W Hair Dryer with Ambient Mode. Enjoy versatile styling with 2 heat/speed settings and a detachable concentrator for precision.,490,,,,,turbo-x-dryer; 1-concentrator; user-manual-31,how-is-winston-turbo-x-dryer-effective; what-is-the-role-of-different-temperature-speed-settings-6; is-there-any-warranty-on-the-product-17; additional-information-6,1600-w-high-definition-air; multiple-speed-heat-modes; detachable-concentrator-2; overheating-protection,,,,,product-faq-xu8nhkby; product-faq-iw8ajyww; warranty,,https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Hair_Dryer_1600W_Manual.pdf?v=1755932829,Turbo X 1600 Watt,It's time to be steady and stylish with 1600 watt powerful performance and 2 heat/speed modes with 1 ambient mode.,,,'30,,,,,,,kg,active
turbo-pro-1800-watt-hair-dryer,Turbo Pro 1800 Watt | Cool Shot Hair Dryer,"With Turbo Pro Dryer 1800W, keep it smooth and steady. The pro dryer offers a quick, efficient dying experience, leaving your hair smooth and frizz-free.    1800 Watt powerful performance   2 heat/speed modes  1 ambient mode  1 cool shot  1 concentrator attachment",Winston,Health & Beauty > Personal Care > Hair Care > Hair Styling Tools > Hair Dryers,Hair Dryer,Winston Hair,True,Title,Default Title,,WHD-106,415.0,shopify,0.0,deny,manual,1349.0,2890.0,True,True,'8906181980488,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/WinstonTurboPro1800Watt.png?v=1754298561', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/1.WinstonHair-TurboPro1800Watt.png?v=1754298561', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/2.TurboPro1800WattHairDryer-GentleDrying.png?v=1754298561', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/3.TurboPro1800WattHairDryer-MultipleTemp.Modes.png?v=1754298561', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/WinstonTurboPro1800WattWithWarranty.png?v=1754298462']","[1, 2, 3, 4, 5]","['Turbo Pro 1800 Watt | Cool Shot Hair Dryer', 'Winston Hair - Turbo Pro 1800 Watt', 'Turbo Pro 1800 Watt With Gentle Drying', 'Turbo Pro 1800 Watt With Multiple Temperature Modes', 'Turbo Pro 1800 Watt With 1 Year Warranty']",False,,"Experience salon-quality styling at home with the Turbo Pro 1800 Watt Hair Dryer. Enjoy powerful airflow, multiple heat settings, and a cool shot for a flawless finish.",490,,,,,turbo-pro-dryer; concentrator-3; user-manual-32,how-is-winston-turbo-pro-dryer-effective; what-is-the-role-of-different-temperature-speed-settings-7; is-there-any-warranty-on-the-product-17; additional-information-8,1800-w-high-definition-air; multiple-speed-heat-modes-1; detachable-concentrator-3; overheating-protection-1800w,,,,,product-faq-ttjqnugr; product-faq-cmhmxkn9; warranty,,https://cdn.shopify.com/s/files/1/0615/3355/2855/files/Turbo_Pro_1800_Manual.pdf,Turbo Pro 1800 Watt,"Keep it smooth and steady with 1800 watt, 2 heat/speed settings, 1 ambient mode, and a cool shot.",,,'37,,,,,,,kg,active
all-in-one-blade-trimmer,All in One Blade Trimmer | Electric Shaver | Bi-Directional Blade,"Winston All In One Blade Trimmer is a versatile men’s grooming tool that lets you trim, edge, shave, and design with ease.   Bi-directional stainless blades for smooth and quick trimming  IPX7 waterproof design for under-the-shower usage Quick rechargeable design supported by type-c   Compact and easy to carry  Order within 6 hours & grab a free ball spray!",Winston Electronics,Health & Beauty > Personal Care > Shaving & Grooming > Electric Razors > Trimmers,trimmer,Winston Trim,True,Title,Default Title,,WOBT-101,200.0,shopify,350.0,deny,manual,1199.0,2399.0,True,True,'8906181980495,"['https://cdn.shopify.com/s/files/1/0615/3355/2855/files/001_AllinOneBladeTrimmer.png?v=1755853142', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/002_AllinOneBladeTrimmerBy_WinstonTrim.png?v=1756099995', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/004_AllinOneBladeTrimmer_DualSideBlades.png?v=1756099949', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/005_AllinOneBladeTrimmer_90MinUsages.png?v=1756100018', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/006_AllinOneBladeTrimmer_6CombAttachements.png?v=1756100043', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/007_AllinOneBladeTrimmer_Comparison_WithOthers.png?v=1756100061', 'https://cdn.shopify.com/s/files/1/0615/3355/2855/files/009_AllinOneBladeTrimmer_1YearWinstonWarranty.png?v=1756100113']","[1, 2, 3, 4, 5, 6, 7]","['All in One Blade Trimmer | Electric Shaver | Bi-Directional Blade', 'All in One Blade Trimmer | Winston Trim', 'Dual Side Blades For Bi-Directional Trimming - All in One Blade Trimmer', 'All In One Blade Trimmer Supported By Type-C Charging', 'All in One Blade Trimmer Comes With 6 Combs Attachments', 'All in One Blade Trimmer Comparison With Others', 'All in One Blade Trimmer With 1 Year Warranty']",False,,"Discover the Winston All In One Blade Trimmer,  it's perfect for trimming, edging, and shaving. Bi-directional blades and rechargeable for effortless styling anywhere!",7245,,,,,all-in-one-blade-trimmer; type-c-charging-cable; 6-length-comb-attachments; user-manual-33,how-is-winston-all-in-one-blade-trimmer-effective-and-safer; what-kind-of-blades-does-all-in-one-blade-trimmer-for-mens-have; what-is-the-role-of-comb-attachments-provided-with-winston-all-in-one-blade-trimmer; what-is-the-travel-lock-in-this-all-in-one-blade-trimmer; what-is-the-charging-and-run-time-of-this-one-blade-trimmer; is-winston-all-in-one-blade-trimmer-waterproof; how-to-clean-the-device-7; is-there-any-warranty-on-the-product-17; additional-information-5,dual-side-precision-blades; ipx-7-waterproof-design-3; edge-sense-technology-2; one-click-usage-1,,,,,product-faq-bqtipsgd; product-faq-qknbcrkp; warranty,stainless-steel-blades; 1-attachment; 6-length-combs; product-features-text-d9rqrob7; 90-minutes-runtime; charging-indicator-1; type-c; product-features-text-nauceb1i; ipx-7-waterproof-design; product-features-text-3wytgjdm; travel-lock,https://cdn.shopify.com/s/files/1/0615/3355/2855/files/All_in_One_Trimmer_-_User_Manual.pdf,All in One Blade Trimmer,"With dual-side precision blades choose close, smooth trim every glide. Trim it, edge it, and shave it!",,,'48,,,,,,,kg,active
